value,iterations
20,25
20,10
20,10
20,25
20,50
20,25
20,10
20,25
20,10
20,100
20,50
20,200
20,25
20,100
20,200
20,50
20,50
20,100
20,100
20,100
20,500
20,10
20,50
20,500
20,10
20,25
20,500
20,200
20,10
20,200
20,200
20,200
20,100
20,500
20,200
20,200
20,10
20,100
20,50
20,500
20,100
20,10
20,200
20,25
20,10
20,100
20,100
20,25
20,200
20,50
20,25
20,500
20,25
20,500
20,50
20,50
20,500
20,500
20,50
20,1000
20,1000
20,1000
20,1000
20,1000
20,500
20,1000
20,1000
40,10
20,1000
20,1000
40,10
80,10
80,25
80,10
80,10
80,10
80,10
80,10
80,10
80,10
60,1000
80,25
60,500
60,500
60,10
60,10
60,500
80,25
80,25
80,10
80,50
80,50
80,10
80,50
80,50
80,50
80,25
60,100
60,100
60,100
60,50
60,50
40,25
80,25
40,25
60,50
40,10
60,100
60,200
40,100
60,50
80,100
40,100
40,100
60,200
40,200
40,25
60,100
60,50
60,100
60,50
60,50
60,50
60,50
60,100
60,100
60,50
40,100
60,25
60,25
60,25
60,10
80,200
40,25
60,25
60,200
40,100
40,10
60,100
60,200
40,50
40,50
40,50
40,50
40,100
40,50
40,25
60,25
40,10
60,10
40,200
40,200
40,200
40,100
40,25
40,10
40,50
60,25
40,25
40,10
40,25
40,25
60,10
60,10
80,50
80,200
60,200
80,200
80,200
80,100
60,10
40,100
60,10
80,100
60,10
40,10
80,50
80,25
80,100
80,100
40,100
80,100
60,1000
60,200
40,10
40,200
60,10
60,25
60,25
40,50
40,100
60,200
40,10
40,200
60,25
40,50
40,25
60,25
80,50
80,100
60,500
80,200
40,200
40,200
40,500
80,100
80,200
80,50
60,100
80,25
40,50
60,500
80,50
80,100
80,25
60,200
40,200
40,50
80,100
40,200
80,25
100,10
100,25
100,10
100,25
100,10
100,10
100,10
100,50
100,50
100,100
100,100
100,50
100,50
100,10
100,10
100,100
100,10
60,200
100,50
100,50
100,25
100,25
100,50
80,500
100,50
100,200
100,25
100,10
100,100
100,10
100,50
100,25
60,200
100,200
40,500
40,500
80,200
100,200
100,100
100,100
100,100
100,100
80,200
100,200
100,50
100,200
100,200
100,500
80,200
80,500
100,100
20,1000
60,1000
40,1000
40,1000
40,500
100,500
80,1000
100,500
60,500
100,1000
100,1000
80,500
60,500
80,500
60,1000
100,500
60,500
80,1000
40,1000
100,1000
80,1000
100,1000
100,1000
40,500
80,500
80,200
60,1000
100,200
100,100
100,200
40,500
100,500
60,500
100,200
100,25
100,25
100,25
100,25
80,500
100,200
100,1000
40,500
100,500
40,1000
100,500
60,1000
80,500
40,1000
40,500
100,500
40,1000
40,500
60,1000
80,500
80,500
100,1000
60,1000
100,500
100,1000
40,500
80,1000
40,1000
20,5000
40,1000
100,500
60,1000
80,1000
40,1000
80,1000
80,1000
80,1000
80,500
60,500
100,1000
60,1000
40,1000
60,5000
100,1000
80,1000
80,1000
20,5000
20,5000
60,5000
60,5000
40,5000
20,5000
80,5000
80,5000
40,5000
20,5000
60,5000
100,5000
40,5000
80,5000
40,5000
100,5000
100,5000
80,5000
60,5000
100,5000
40,5000
60,5000
20,5000
20,5000
100,5000
40,5000
100,5000
40,5000
100,5000
100,5000
60,5000
100,5000
80,5000
20,5000
60,5000
60,5000
40,5000
80,5000
80,5000
100,5000
80,5000
20,5000
40,5000
40,5000
80,5000
60,5000
20,5000
80,5000
